vinícola,vinho,ano,avaliação,num_avaliações,região,preço,tipo,corpo,acidez,Categoria
Los Aguilares,Pago El Espino,2019.0,4.4,56,Sierras de Malaga,18.9,Red,4,3,Vinhos Tintos
La Vicalanda,Gran Reserva,2015.0,4.4,55,Rioja,53.8,Rioja Red,4,3,Vinhos Tintos
Vina Pedrosa,Perez Pascuas Gran Reserva Seleccion,2015.0,4.4,55,Ribera del Duero,55.25,Ribera Del Duero Red,5,3,Vinhos Tintos
Ostatu,Gloria Rioja,2011.0,4.4,55,Rioja Alavesa,44.9,Rioja Red,4,3,Vinhos Tintos
Finca Valpiedra,Petra de Valpiedra Garnacha,2017.0,4.4,55,Rioja,32.9,Grenache,5,3,Vinhos Tintos
Vina Pomal,Alto de la Caseta,2015.0,4.4,54,Rioja,82.5,Rioja Red,4,3,Vinhos Tintos
Recaredo,Serral del Vell Brut Nature,2015.0,4.4,54,Cava,33.78,Cava,2,3,Vinhos Espumantes
Tridente,Rejon Tempranillo,2017.0,4.4,54,Castilla y Leon,34.9,Tempranillo,4,2,Vinhos Tintos
Vall Llach,Mas de la Rosa,2016.0,4.4,53,Priorato,367.39,Priorat Red,4,3,Vinhos Tintos
Baigorri,Rioja B70,2014.0,4.4,52,Rioja,104.5,Rioja Red,4,3,Vinhos Tintos
Matarromera,Gran Reserva,2014.0,4.4,52,Ribera del Duero,74.55,Ribera Del Duero Red,5,3,Vinhos Tintos
Vivaltus,Tinto,2016.0,4.4,52,Ribera del Duero,119.0,Ribera Del Duero Red,5,3,Vinhos Tintos
Comenge,Don Miguel,2016.0,4.4,51,Ribera del Duero,31.92,Ribera Del Duero Red,5,3,Vinhos Tintos
Collbaix Celler El Moli,Singular Negre,2015.0,4.4,51,Pla de Bages,27.35,Cabernet Sauvignon,4,3,Vinhos Tintos
Bodegas Celler Francisco Castillo - Clos Dominic,Vinyes Altes Porrera,2017.0,4.4,51,Priorato,33.0,Priorat Red,4,3,Vinhos Tintos
Martinez Lacuesta,Rioja Reserva Especial,1922.0,4.4,51,Rioja Alta,280.0,Rioja Red,4,3,Vinhos Tintos
Pujanza,Rioja Cisma,2014.0,4.4,50,Rioja,140.0,Rioja Red,4,3,Vinhos Tintos
Jesus Madrazo,Seleccion Rioja,2018.0,4.4,50,Rioja,32.0,Rioja Red,4,3,Vinhos Tintos
Allende,Martires Rioja,2015.0,4.4,50,Rioja,91.5,Rioja White,3,3,Vinhos Brancos
Llopart,Cava Original Brut (Espumos),2010.0,4.4,49,Cava,52.95,Cava,2,3,Vinhos Espumantes
Albet i Noya,Marti Reserva Penedes,2015.0,4.4,49,Penedes,35.15,Red,4,3,Vinhos Tintos
La Rioja Alta,Vina Ardanza Reserva Seleccion Especial,2015.0,4.4,49,Rioja,23.0,Rioja Red,4,3,Vinhos Tintos
Juan Pinero,Oloroso 30 Years Old V.O.R.S,,4.4,48,Jerez Oloroso,37.9,Sherry,4,3,Vinhos Fortificados
Olivier Riviere,Pozo Alto,2016.0,4.4,48,Rioja,119.95,Rioja Red,4,3,Vinhos Tintos
Bodegas Amaren,El Cristo de Samaniego,2017.0,4.4,47,Rioja Alavesa,42.9,Rioja Red,4,3,Vinhos Tintos
Bodegas Tierra,El Belisario,2016.0,4.4,47,Rioja,39.9,Tempranillo,4,2,Vinhos Tintos
Torre de Ona,Baron de Ona Rioja Reserva,1995.0,4.4,46,Rioja,50.0,Rioja Red,4,3,Vinhos Tintos
Clos Erasmus,Priorat,2017.0,4.4,45,Priorato,209.31,Priorat Red,4,3,Vinhos Tintos
Toro Albala,Don PX Seleccion,1968.0,4.4,45,Montilla-Moriles,165.0,Pedro Ximenez,5,1,Vinhos Fortificados
Monte Real,Gran Reserva,1978.0,4.4,45,Rioja,97.0,Rioja Red,4,3,Vinhos Tintos
Do Ferreiro (Bodegas Gerardo Mendez),Cepas Vellas Rias Baixas Albarino,2020.0,4.4,44,Rias Baixas,26.5,Albarino,3,3,Vinhos Brancos
Legaris,La Aguilera,2016.0,4.4,44,Ribera del Duero,32.5,Ribera Del Duero Red,5,3,Vinhos Tintos
Bodega Contador (Benjamin Romeo),Pirata,2014.0,4.4,44,Rioja,194.0,Rioja White,3,3,Vinhos Brancos
Vinas del Vero,Blecua Somontano,2014.0,4.4,43,Somontano,74.95,Red,4,3,Vinhos Tintos
Territorio Luthier,Hispania,2018.0,4.4,43,Ribera del Duero,28.9,Ribera Del Duero Red,5,3,Vinhos Tintos
Martin Codax,Arousa,2019.0,4.4,44,Vino de Espana,18.99,Albarino,3,3,Vinhos Brancos
Vinedos Hermanos Hernaiz,Las Cenizas Tempranillo,2018.0,4.4,43,Rioja Alta,19.95,Rioja Red,4,3,Vinhos Tintos
Cims de Porrera,Solanes Priorat,2003.0,4.4,43,Priorato,38.66,Priorat Red,4,3,Vinhos Tintos
Artadi,Grandes Anadas Rioja,1994.0,4.4,43,Rioja,180.0,Rioja Red,4,3,Vinhos Tintos
Martinet,Cami Pesseroles,2017.0,4.4,42,Priorato,75.5,Priorat Red,4,3,Vinhos Tintos
Freixenet,Cava Cuvee De Prestige Trepat,2019.0,4.4,43,Cava,7.89,Cava,2,3,Vinhos Espumantes
Azpilicueta,Felix Azpilicueta Coleccion Privada,2019.0,4.4,41,Rioja,18.0,Rioja Red,4,3,Vinhos Tintos
Gramona,Savinat Sauvignon Blanc,2019.0,4.4,41,Penedes,17.9,Sauvignon Blanc,3,3,Vinhos Brancos
Veronica Salgado,Capricho Crianza,2017.0,4.4,41,Ribera del Duero,15.44,Ribera Del Duero Red,5,3,Vinhos Tintos
Vinedos Hermanos Hernaiz,Finca La Emperatriz Vinedo Singular Tinto,2017.0,4.4,41,Rioja Alta,33.55,Rioja Red,4,3,Vinhos Tintos
Clos Galena,Galena,2017.0,4.4,41,Priorato,19.8,Priorat Red,4,3,Vinhos Tintos
Imperial,Rioja Reserva,1982.0,4.4,41,Rioja,145.0,Rioja Red,4,3,Vinhos Tintos
Osborne,Solera PAP Palo Cortado Rare Sherry,,4.4,41,Jerez-Xeres-Sherry,189.99,Sherry,4,3,Vinhos Fortificados
Bodegas Imperiales - Abadia de San Quirce,Finca Helena,2015.0,4.4,40,Ribera del Duero,59.9,Ribera Del Duero Red,5,3,Vinhos Tintos
Marta Mate,Primordium,2012.0,4.4,40,Ribera del Duero,29.9,Ribera Del Duero Red,5,3,Vinhos Tintos
Albet i Noya,Marti Reserva Penedes,2016.0,4.4,39,Penedes,33.8,Red,4,3,Vinhos Tintos
Bodegas Mas Alta,La Solana Alta,2018.0,4.4,39,Priorato,43.5,,0,0,Outros
Venta Las Vacas,La Cuartilleja Reserva,2016.0,4.4,39,Ribera del Duero,39.9,Ribera Del Duero Red,5,3,Vinhos Tintos
Emilio Moro,Malleolus de Sanchomartin,2018.0,4.4,39,Ribera del Duero,119.35,Ribera Del Duero Red,5,3,Vinhos Tintos
Figuero,Noble,2015.0,4.4,38,Ribera del Duero,60.0,Ribera Del Duero Red,5,3,Vinhos Tintos
Baigorri,De Garage Rioja,2005.0,4.4,37,Rioja,40.0,Rioja Red,4,3,Vinhos Tintos
Pago Calzadilla,Gran Calzadilla,2010.0,4.4,37,Pago Calzadilla,34.75,Red,4,3,Vinhos Tintos
Vivanco,4 Varietales Coleccion Rioja,2017.0,4.4,37,Rioja,24.0,Rioja Red,4,3,Vinhos Tintos
Fernandez Gao,Oloroso,,4.4,38,Jerez-Xeres-Sherry,59.9,Sherry,4,3,Vinhos Fortificados
Allende,Aurus,1998.0,4.4,37,Rioja,245.25,Rioja Red,4,3,Vinhos Tintos
Toro Albala,Don PX Pedro Ximenez,1973.0,4.4,37,Montilla-Moriles,109.76,Pedro Ximenez,5,1,Vinhos Fortificados
Museum,Numerus Clausus,2012.0,4.4,37,Cigales,59.9,Tempranillo,4,2,Vinhos Tintos
Pujanza,Rioja Cisma,2012.0,4.4,37,Rioja,130.5,Rioja Red,4,3,Vinhos Tintos
Vinicola Real,200 Monges Rioja Seleccion Especial Reserva Blanco,2008.0,4.4,36,Rioja,61.5,Rioja White,3,3,Vinhos Brancos
Toro Albala,Don PX Gran Reserva,1994.0,4.4,36,Montilla-Moriles,33.23,Pedro Ximenez,5,1,Vinhos Fortificados
Castillo Perelada,Emporda Aires de Garbet,2018.0,4.4,36,Emporda,38.5,Red,4,3,Vinhos Tintos
Marques de Riscal,Rioja Gran Reserva,1996.0,4.4,36,Rioja,38.12,Rioja Red,4,3,Vinhos Tintos
Harveys,30 Years V.O.R.S Very Old Palo Cortado Blend Medium Sherry,,4.4,35,Jerez Palo Cortado,65.0,Sherry,4,3,Vinhos Fortificados
Farina,Campus Gothorum,2017.0,4.4,35,Toro,41.0,Toro Red,5,3,Vinhos Tintos
Tinto Pesquera,Gran Reserva,2015.0,4.4,35,Ribera del Duero,74.5,Ribera Del Duero Red,5,3,Vinhos Tintos
Enric Soler,Nun Vinya dels Taus,2019.0,4.4,35,Penedes,45.39,,0,0,Outros
Galindo San Millan,La Pizca,2016.0,4.4,35,Toro,26.0,Red,4,3,Vinhos Tintos
Equipo Navazos,La Bota 90 de Manzanilla Pasada,,4.4,35,Manzanilla,39.75,Sherry,4,3,Vinhos Fortificados
Legaris,Moradillo de Roa,2017.0,4.4,35,Ribera del Duero,29.89,Ribera Del Duero Red,5,3,Vinhos Tintos
Bodegas Casa Primicia,Cofradia,2014.0,4.4,34,Rioja,38.0,Rioja Red,4,3,Vinhos Tintos
Pujanza,Rioja Cisma,2009.0,4.4,34,Rioja,132.4,Rioja Red,4,3,Vinhos Tintos
Bodegas Celler Francisco Castillo - Clos Dominic,Vinyes Altes Porrera,2009.0,4.4,34,Priorato,69.0,Priorat Red,4,3,Vinhos Tintos
Castell Miquel,Stairway To Heaven Rosado,2020.0,4.4,34,Mallorca,13.99,,0,0,Outros
Barco del Corneta,La Silleria,2017.0,4.4,34,Castilla y Leon,24.5,,0,0,Outros
Joan d'Anguera,Planella,2020.0,4.4,34,Montsant,16.25,Montsant Red,4,3,Vinhos Tintos
Martin Codax,Gallaecia Rias Baixes Albarino,2017.0,4.4,34,Rias Baixas,39.95,Albarino,3,3,Vinhos Brancos
Tinto Pesquera,Gran Reserva,1994.0,4.4,34,Ribera del Duero,138.0,Ribera Del Duero Red,5,3,Vinhos Tintos
Xaloc,Monada,2013.0,4.4,33,Mallorca,35.4,Red,4,3,Vinhos Tintos
Bodegas 6o Elemento - Vino Sexto Elemento,Tinto,2019.0,4.4,33,Valencia,20.95,Red,4,3,Vinhos Tintos
Scala Dei,Heretge Priorat,2018.0,4.4,33,Priorato,39.99,Priorat Red,4,3,Vinhos Tintos
Terra Remota,Usted,2009.0,4.4,33,Emporda,159.8,Red,4,3,Vinhos Tintos
Allende,Martires Rioja,2017.0,4.4,33,Rioja,139.63,Rioja White,3,3,Vinhos Brancos
Bodegas Frontaura,Verdejo,2017.0,4.4,32,Toro,19.97,Verdejo,3,3,Vinhos Brancos
Carlos Moro,Vina Garugele,2015.0,4.4,32,Rioja,75.8,Rioja Red,4,3,Vinhos Tintos
Bodegas Luis Perez,Petit Verdot,2013.0,4.4,32,Andalucia,52.5,Red,4,3,Vinhos Tintos
Ladairo,Barrica,2018.0,4.4,32,Monterrei,20.95,Red,4,3,Vinhos Tintos
Conreria d'Scala Dei,Voltons,2017.0,4.4,32,Priorato,51.95,Priorat Red,4,3,Vinhos Tintos
Castell d'Encus,Ekam Essencia,2015.0,4.4,32,Costers del Segre,43.44,,0,0,Outros
Traslascuestas,Valcavado de Traslascuestas,2014.0,4.4,31,Ribera del Duero,35.48,Ribera Del Duero Red,5,3,Vinhos Tintos
Tobia,Oscar Tobia Gran Reserva Rioja,2014.0,4.4,31,Rioja,28.0,Rioja Red,4,3,Vinhos Tintos
Alvaro Palacios,La Baixada,2018.0,4.4,31,Priorato,239.5,Priorat Red,4,3,Vinhos Tintos
Bodega Contador (Benjamin Romeo),La Cueva del Contador Rioja,2019.0,4.4,31,Rioja,60.61,Rioja Red,4,3,Vinhos Tintos
Lopez Cristobal,Seleccion,2012.0,4.4,31,Ribera del Duero,35.35,Ribera Del Duero Red,5,3,Vinhos Tintos
Codorniu,Cava El Tros Nou Pinot Noir,2009.0,4.4,30,Cava,89.9,Cava,2,3,Vinhos Espumantes
Clos Mogador,Manyetes,2018.0,4.4,30,Priorato,74.56,Priorat Red,4,3,Vinhos Tintos
Sota els Angels,Tinto,2007.0,4.4,30,Emporda,33.4,Red,4,3,Vinhos Tintos
Berceo,Los Dominios de Berceo Prefiloxerico,2015.0,4.4,29,Rioja,29.25,Rioja Red,4,3,Vinhos Tintos
Romate,Old & Plus Amontillado,,4.4,28,Jerez Amontillado,15.84,Sherry,4,3,Vinhos Fortificados
Toro Albala,Don PX Convento Seleccion,1968.0,4.4,28,Montilla-Moriles,173.0,Pedro Ximenez,5,1,Vinhos Fortificados
Mas Blanch I Jove,Sao Expressiu,2012.0,4.4,28,Costers del Segre,34.5,Red,4,3,Vinhos Tintos
Carlos Serres,Onomastica Rioja Reserva,2014.0,4.4,28,Rioja,21.88,Rioja Red,4,3,Vinhos Tintos
La Rioja Alta,Vina Arana Gran Reserva,2015.0,4.4,28,Rioja,27.9,Rioja Red,4,3,Vinhos Tintos
Anayon,Carinena Parcela 15 Vinas Viejas,2017.0,4.4,28,Carinena,54.9,Red,4,3,Vinhos Tintos
David Moreno,Vobiscum,2015.0,4.4,28,Rioja,31.99,Rioja Red,4,3,Vinhos Tintos
Vina Pedrosa,La Navilla,2017.0,4.4,27,Ribera del Duero,24.9,Ribera Del Duero Red,5,3,Vinhos Tintos
Edra,Merlot - Syrah,2016.0,4.4,27,Ribera del Gallego-Cinco Villas,11.5,Red,4,3,Vinhos Tintos
Bodega Numanthia,Termanthia,2000.0,4.4,27,Toro,140.0,Toro Red,5,3,Vinhos Tintos
Gutierrez de la Vega,Casta Diva Cosecha Miel Moscatel Dulce,2018.0,4.4,27,Alicante,15.5,,0,0,Outros
Marques de Riscal,Baron de Chirel Rioja Reserva,2017.0,4.4,27,Rioja,95.0,Rioja Red,4,3,Vinhos Tintos
Valdelosfrailes,Pago de Las Costanas,2005.0,4.4,27,Castilla y Leon,40.2,Tempranillo,4,2,Vinhos Tintos
Remirez de Ganuza,Rioja Blanco,2019.0,4.4,27,Rioja,26.45,Rioja White,3,3,Vinhos Brancos
Briego,Vendimia Seleccionada,2020.0,4.4,27,Ribera del Duero,7.9,Ribera Del Duero Red,5,3,Vinhos Tintos
Guillem Carol - Cellers Carol Valles,Cava Gran Reserva Familiar Millenium Brut,2011.0,4.4,27,Cava,29.95,Cava,2,3,Vinhos Espumantes
Barahonda,Zona Zepa Monastrell,2015.0,4.4,26,Yecla,59.9,Monastrell,5,3,Vinhos Tintos
Abadia Retuerta,Petit Verdot,2016.0,4.4,26,Sardon de Duero,115.9,Red,4,3,Vinhos Tintos
Tobia,Alma Tobia Blanco,2016.0,4.4,26,Rioja,33.0,Rioja White,3,3,Vinhos Brancos
Vina Pomal,Reserva,1970.0,4.4,25,Rioja,72.0,Rioja Red,4,3,Vinhos Tintos
Particular,Garnacha Vinas Centenarias,2015.0,4.4,25,Carinena,13.95,Grenache,5,3,Vinhos Tintos
Bodegas Frontonio,El Jardin de las Iguales Vinedo Historico Garnacha,2016.0,4.4,25,Aragon,195.99,Grenache,5,3,Vinhos Tintos
Bodegas Asenjo & Manso,Silvanus Edicion Limitada Ribera del Duero,2015.0,4.4,25,Ribera del Duero,46.0,Ribera Del Duero Red,5,3,Vinhos Tintos
La Rioja Alta,Vina Ardanza Reserva,2009.0,4.3,10273,Rioja,24.38,Rioja Red,4,3,Vinhos Tintos
La Rioja Alta,Vina Ardanza Reserva,2012.0,4.3,9092,Rioja,20.0,Rioja Red,4,3,Vinhos Tintos
Familia Torres,San Valentin Parellada,2019.0,4.3,7401,Cataluna,6.95,,0,0,Outros
Abadia Retuerta,Seleccion Especial,2016.0,4.3,7293,Sardon de Duero,17.48,Red,4,3,Vinhos Tintos
R. Lopez de Heredia,Vina Tondonia Reserva,2008.0,4.3,6521,Rioja,37.9,Rioja Red,4,3,Vinhos Tintos
Pintia,Toro,2010.0,4.3,6345,Toro,79.75,Toro Red,5,3,Vinhos Tintos
Abadia Retuerta,Seleccion Especial,2015.0,4.3,5152,Sardon de Duero,24.95,Red,4,3,Vinhos Tintos
La Rioja Alta,Rioja Gran Reserva 904,2004.0,4.3,4994,Rioja,29.9,Rioja Red,4,3,Vinhos Tintos
Dominio de Pingus,PSI,2018.0,4.3,4767,Ribera del Duero,29.13,Ribera Del Duero Red,5,3,Vinhos Tintos
Dominio de Pingus,PSI,2017.0,4.3,4457,Ribera del Duero,33.9,Ribera Del Duero Red,5,3,Vinhos Tintos
Muga,Seleccion Especial (Reserva),2015.0,4.3,4266,Rioja,28.0,Rioja Red,4,3,Vinhos Tintos
Pago de Carraovejas,Tinto,2012.0,4.3,4023,Ribera del Duero,25.8,Ribera Del Duero Red,0,0,Vinhos Tintos
Emilio Moro,Malleolus,2016.0,4.3,3997,Ribera del Duero,37.86,Ribera Del Duero Red,0,0,Vinhos Tintos
Muga,Seleccion Especial (Reserva),2014.0,4.3,3829,Rioja,34.0,Rioja Red,0,0,Vinhos Tintos
Matarromera,Ribera del Duero Reserva,2014.0,4.3,3660,Ribera del Duero,33.64,Ribera Del Duero Red,0,0,Vinhos Tintos
Matarromera,Ribera del Duero Reserva,2015.0,4.3,3620,Ribera del Duero,36.35,Ribera Del Duero Red,0,0,Vinhos Tintos
Muga,Prado Enea Gran Reserva,2006.0,4.3,3608,Rioja,35.5,Rioja Red,0,0,Vinhos Tintos
Bodegas Mauro,Red,2017.0,4.3,3587,Castilla y Leon,66.75,Red,0,0,Vinhos Tintos
Arzuaga,Ribera del Duero Crianza,2018.0,4.3,3524,Ribera del Duero,19.01,Ribera Del Duero Red,0,0,Vinhos Tintos
Hacienda Monasterio,Cosecha,2014.0,4.3,2990,Ribera del Duero,75.9,Ribera Del Duero Red,0,0,Vinhos Tintos
Emilio Moro,Malleolus,2017.0,4.3,2936,Ribera del Duero,38.05,Ribera Del Duero Red,0,0,Vinhos Tintos
Muga,Prado Enea Gran Reserva,2009.0,4.3,2923,Rioja,40.4,Rioja Red,0,0,Vinhos Tintos
Familia Torres,Mas La Plana Cabernet Sauvignon,2013.0,4.3,2911,Penedes,63.33,Cabernet Sauvignon,0,0,Vinhos Tintos
Aalto,Tinto,2012.0,4.3,2844,Ribera del Duero,26.9,Ribera Del Duero Red,0,0,Vinhos Tintos
Hacienda Monasterio,Cosecha,2015.0,4.3,2783,Ribera del Duero,34.95,Ribera Del Duero Red,0,0,Vinhos Tintos
Pago de Los Capellanes,Crianza Tinto,2018.0,4.3,2705,Ribera del Duero,24.5,Ribera Del Duero Red,0,0,Vinhos Tintos
Pintia,Toro,2007.0,4.3,2575,Toro,93.5,Toro Red,0,0,Vinhos Tintos
Bodega Numanthia,Numanthia,2012.0,4.3,2453,Toro,99.9,Toro Red,0,0,Vinhos Tintos
R. Lopez de Heredia,Vina Tondonia Reserva,2009.0,4.3,2423,Rioja,35.09,Rioja Red,0,0,Vinhos Tintos
Benjamin de Rothschild - Vega Sicilia,Macan Clasico,2014.0,4.3,2341,Rioja,36.8,Rioja Red,0,0,Vinhos Tintos
Pago de Los Capellanes,Reserva Tinto,2015.0,4.3,2295,Ribera del Duero,80.35,Ribera Del Duero Red,0,0,Vinhos Tintos
Bodega Numanthia,Numanthia,2014.0,4.3,2241,Toro,46.0,Toro Red,0,0,Vinhos Tintos
Benjamin de Rothschild - Vega Sicilia,Macan Clasico,2015.0,4.3,2241,Rioja,50.41,Rioja Red,0,0,Vinhos Tintos
Pintia,Toro,2009.0,4.3,2062,Toro,150.0,Toro Red,0,0,Vinhos Tintos
Matsu,El Viejo,2016.0,4.3,2013,Toro,33.95,Toro Red,0,0,Vinhos Tintos
Pago de Los Capellanes,Reserva Tinto,2014.0,4.3,1924,Ribera del Duero,48.64,Ribera Del Duero Red,0,0,Vinhos Tintos
Tomas Postigo,3er Ano Ribera del Duero Tinto,2016.0,4.3,1914,Ribera del Duero,27.29,Ribera Del Duero Red,5,3,Vinhos Tintos
Aalto,Tinto,2016.0,4.3,1884,Ribera del Duero,65.9,Ribera Del Duero Red,5,3,Vinhos Tintos
Bodegas San Roman,Tinto,2015.0,4.3,1846,Toro,33.66,Toro Red,5,3,Vinhos Tintos
Bodegas San Roman,Tinto,2012.0,4.3,1824,Toro,190.0,Toro Red,5,3,Vinhos Tintos
Familia Torres,Mas La Plana Cabernet Sauvignon,2015.0,4.3,1797,Penedes,55.0,Cabernet Sauvignon,4,3,Vinhos Tintos
Bodegas San Roman,Tinto,2016.0,4.3,1749,Toro,26.9,Toro Red,5,3,Vinhos Tintos
Bodega Numanthia,Numanthia,2015.0,4.3,1743,Toro,36.9,Toro Red,5,3,Vinhos Tintos
Bodegas Valduero,Ribera del Duero Una Cepa I,2015.0,4.3,1645,Ribera del Duero,25.95,Ribera Del Duero Red,5,3,Vinhos Tintos
Pago de Los Capellanes,Reserva Tinto,2016.0,4.3,1638,Ribera del Duero,34.5,Ribera Del Duero Red,5,3,Vinhos Tintos
Imperial,Rioja Gran Reserva,2012.0,4.3,1615,Rioja,47.9,Rioja Red,4,3,Vinhos Tintos
Alto Moncayo,Garnacha,2014.0,4.3,1544,Campo de Borja,36.94,Grenache,5,3,Vinhos Tintos
La Rioja Alta,Rioja Gran Reserva 904,1998.0,4.3,1528,Rioja,75.0,Rioja Red,4,3,Vinhos Tintos
La Rioja Alta,Vina Arana Gran Reserva,2014.0,4.3,1525,Rioja,24.9,Rioja Red,4,3,Vinhos Tintos
Remirez de Ganuza,Rioja Reserva,2006.0,4.3,1493,Rioja,58.0,Rioja Red,4,3,Vinhos Tintos
La Rioja Alta,Vina Arana Gran Reserva,2012.0,4.3,1471,Rioja,32.55,Rioja Red,4,3,Vinhos Tintos
Bosque de Matasnos,Bosque de Matasnos Etiqueta Blanca,2018.0,4.3,1465,Ribera del Duero,26.9,Ribera Del Duero Red,5,3,Vinhos Tintos
Gonzalez-Byass,Matusalem Sherry VORS,,4.3,1452,Jerez Oloroso,63.34,Sherry,4,3,Vinhos Fortificados
Marques de Vargas,Reserva Privada Rioja,2014.0,4.3,1367,Rioja,37.9,Rioja Red,4,3,Vinhos Tintos
Bodegas Valduero,Ribera del Duero Una Cepa I,2014.0,4.3,1362,Ribera del Duero,46.95,Ribera Del Duero Red,5,3,Vinhos Tintos
Bodegas Roda,Roda I Reserva Rioja,2008.0,4.3,1330,Rioja,39.22,Rioja Red,4,3,Vinhos Tintos
Luis Canas,Reserva Seleccion de la Familia,2016.0,4.3,1282,Rioja,18.5,Rioja Red,4,3,Vinhos Tintos
Gonzalez-Byass,Apostoles 30 Years Old Sherry,,4.3,1247,Jerez Palo Cortado,74.0,Sherry,4,3,Vinhos Fortificados
Vinicola Real,200 Monges Rioja Reserva,2010.0,4.3,1230,Rioja,35.0,Rioja Red,4,3,Vinhos Tintos
Tinto Pesquera,Reserva,2016.0,4.3,1230,Ribera del Duero,26.76,Ribera Del Duero Red,5,3,Vinhos Tintos
Belondrade,Belondrade y Lurton,2015.0,4.3,1230,Rueda,32.7,Verdejo,3,3,Vinhos Brancos
Ossian,Vinas Viejas Verdejo,2016.0,4.3,1181,Castilla y Leon,49.0,Verdejo,3,3,Vinhos Brancos
Teso La Monja,Victorino,2014.0,4.3,1178,Toro,38.0,Toro Red,5,3,Vinhos Tintos
Garmon,Ribera del Duero,2016.0,4.3,1119,Ribera del Duero,33.59,Ribera Del Duero Red,5,3,Vinhos Tintos
Marques de Murrieta,Gran Reserva Rioja (Finca Ygay),2011.0,4.3,1118,Rioja,94.95,Rioja Red,4,3,Vinhos Tintos
Marques de Caceres,Gaudium,2012.0,4.3,1116,Rioja,36.91,Rioja Red,4,3,Vinhos Tintos
Volver,Triga,2014.0,4.3,1114,Alicante,30.67,Red,4,3,Vinhos Tintos
Vinedos de Paganos,El Puntido,2014.0,4.3,1067,Rioja,86.15,Rioja Red,4,3,Vinhos Tintos
Williams & Humbert,Don Guido Pedro Ximenez Solera Especial Aged 20 Years,,4.3,1057,Jerez-Xeres-Sherry,32.9,Pedro Ximenez,5,1,Vinhos Fortificados
Luis Canas,Reserva Seleccion de la Familia,2014.0,4.3,1022,Rioja,17.07,Rioja Red,4,3,Vinhos Tintos
Pago de Los Capellanes,Crianza Tinto,2019.0,4.3,1011,Ribera del Duero,19.45,Ribera Del Duero Red,5,3,Vinhos Tintos
Marques de Riscal,Rioja Gran Reserva,2013.0,4.3,995,Rioja,39.9,Rioja Red,4,3,Vinhos Tintos
Tresmano - Tr3smano,Vendimia,2016.0,4.3,930,Ribera del Duero,28.65,Ribera Del Duero Red,5,3,Vinhos Tintos
Vinedos de Paganos,El Puntido,2015.0,4.3,929,Rioja,33.82,Rioja Red,4,3,Vinhos Tintos
Marques de Murrieta,Dalmau Rioja,2012.0,4.3,916,Rioja,67.95,Rioja Red,4,3,Vinhos Tintos
Marques de Murrieta,Dalmau Rioja,2013.0,4.3,912,Rioja,60.95,Rioja Red,4,3,Vinhos Tintos
Marques de Vargas,Gran Reserva Rioja,2011.0,4.3,901,Rioja,35.01,Rioja Red,4,3,Vinhos Tintos
Muga,Torre Muga,2011.0,4.3,900,Rioja,69.95,Rioja Red,4,3,Vinhos Tintos
Ossian,Vinas Viejas Verdejo,2018.0,4.3,885,Castilla y Leon,28.18,Verdejo,3,3,Vinhos Brancos
Teso La Monja,Victorino,2013.0,4.3,878,Toro,34.22,Toro Red,5,3,Vinhos Tintos
Imperial,Rioja Gran Reserva,2014.0,4.3,835,Rioja,49.75,Rioja Red,4,3,Vinhos Tintos
Ferrer Bobet,Priorat Vinyes Velles,2016.0,4.3,828,Priorato,33.95,Priorat Red,4,3,Vinhos Tintos
La Vicalanda,Reserva,2014.0,4.3,818,Rioja,21.5,Rioja Red,4,3,Vinhos Tintos
Alvaro Palacios,Finca Dofi,2012.0,4.3,814,Priorato,80.0,Priorat Red,4,3,Vinhos Tintos
Senorio de San Vicente,San Vicente Rioja,2014.0,4.3,811,Rioja,36.0,Rioja Red,4,3,Vinhos Tintos
Imperial,Rioja Reserva,2017.0,4.3,799,Rioja,25.45,Rioja Red,4,3,Vinhos Tintos
La Rioja Alta,Vina Ardanza Reserva,2010.0,4.3,783,Rioja,17.16,Rioja Red,4,3,Vinhos Tintos
Pintia,Toro,2004.0,4.3,760,Toro,116.9,Toro Red,5,3,Vinhos Tintos
Vinicola Real,200 Monges Rioja Reserva,2009.0,4.3,760,Rioja,39.5,Rioja Red,4,3,Vinhos Tintos
Vinedos de Paganos,El Puntido Gran Reserva,2006.0,4.3,754,Rioja,40.0,Rioja Red,4,3,Vinhos Tintos
Marques de Murrieta,Gran Reserva Rioja (Finca Ygay),2012.0,4.3,749,Rioja,39.78,Rioja Red,4,3,Vinhos Tintos
Anima Negra,An,2017.0,4.3,740,Mallorca,39.98,Red,4,3,Vinhos Tintos
Muga,Torre Muga,2014.0,4.3,728,Rioja,69.9,Rioja Red,4,3,Vinhos Tintos
Senorio de San Vicente,San Vicente Rioja,2007.0,4.3,724,Rioja,77.7,Rioja Red,4,3,Vinhos Tintos
Clos Mogador,Priorat,2009.0,4.3,723,Priorato,95.0,Priorat Red,4,3,Vinhos Tintos
Bodegas Vilano,La Baraja,2016.0,4.3,716,Ribera del Duero,24.9,Ribera Del Duero Red,5,3,Vinhos Tintos
Bodegas San Roman,Tinto,2018.0,4.3,693,Toro,25.9,Toro Red,5,3,Vinhos Tintos
Castillo Perelada,Finca Malaveina,2017.0,4.3,687,Emporda,22.5,Red,4,3,Vinhos Tintos
